,Time,Open,High,Low,Close,Volume,QuoteAssetVolume,NumberOfTrades,ID_Coin,Pt-1,Pt+1buyHigh,Pt+5c,Pt+10c,Time_human
550,1655404080000,0.00293000,0.00302,0.00293000,0.003,12280098.0,36416.90155000,78,XVGUSDT,0.00293,0.003,0.00335,0.00385,2022-06-16 18:28:00
551,1655836260000,0.00342000,0.00369,0.00342000,0.00354,24656655.0,86875.83419000,515,XVGUSDT,0.00343,0.00356,0.00376,0.00421,2022-06-21 18:31:00
552,1656342840000,0.00328000,0.00333,0.00328000,0.00332,3350266.0,11066.31905000,40,XVGUSDT,0.00328,0.00334,0.00346,0.00372,2022-06-27 15:14:00
553,1656762780000,0.00282000,0.00284,0.00282000,0.00284,887877.0,2516.80555000,11,XVGUSDT,0.00281,0.00284,0.00294,0.00317,2022-07-02 11:53:00
554,1656857280000,0.00293000,0.00295,0.00293000,0.00295,842689.0,2478.77141000,14,XVGUSDT,0.00292,0.00299,0.00322,0.00318,2022-07-03 14:08:00
555,1660570560000,0.00419000,0.00424,0.00414000,0.00424,14871224.0,62533.46357000,131,XVGUSDT,0.00418,0.00424,0.00436,0.00457,2022-08-15 13:36:00
556,1661968860000,0.00308000,0.00315,0.00308000,0.00315,5694764.0,17743.62342000,75,XVGUSDT,0.00308,0.00335,0.00408,0.00432,2022-08-31 18:01:00
557,1655139240000,0.15700000,0.1607,0.15700000,0.159,403523.0,64160.38330000,503,ATAUSDT,0.1569,0.159,0.1641,0.1695,2022-06-13 16:54:00
558,1661359680000,10.28000000,10.49,10.28000000,10.44,11584.12,120457.31320000,627,TORNUSDT,10.28,10.73,11.59,11.89,2022-08-24 16:48:00
559,1654930080000,1.91000000,1.952,1.91000000,1.944,22012.0,42643.15230000,141,ERNUSDT,1.908,1.945,2.08,2.213,2022-06-11 06:48:00
560,1656591360000,1.38700000,1.411,1.38700000,1.406,20472.0,28671.99510000,97,ERNUSDT,1.383,1.415,1.521,1.65,2022-06-30 12:16:00
561,1656594240000,1.45900000,1.503,1.45900000,1.494,49056.3,72708.24280000,188,ERNUSDT,1.458,1.523,1.629,1.682,2022-06-30 13:04:00
562,1657787460000,1.47100000,1.5,1.47100000,1.489,43246.0,64373.63860000,198,ERNUSDT,1.471,1.515,1.611,1.645,2022-07-14 08:31:00
563,1657981500000,1.89900000,2.0,1.89700000,1.994,103998.1,205408.16860000,725,ERNUSDT,1.894,2.148,2.286,2.45,2022-07-16 14:25:00
564,1657985280000,2.28700000,2.364,2.26900000,2.329,64033.6,148470.05770000,532,ERNUSDT,2.287,2.332,2.474,2.504,2022-07-16 15:28:00
565,1657188840000,0.11790000,0.1207,0.11760000,0.1197,244577.0,29077.33610000,83,PHAUSDT,0.1177,0.1193,0.1228,0.1271,2022-07-07 10:14:00
566,1657799880000,0.11130000,0.1157,0.11120000,0.1144,1118347.0,127364.35150000,408,PHAUSDT,0.1113,0.116,0.1237,0.1269,2022-07-14 11:58:00
567,1656497400000,2.80000000,2.9,2.79000000,2.9,13934.66,39626.48710000,124,BONDUSDT,2.8,2.98,3.46,3.3,2022-06-29 10:10:00
568,1656761820000,2.67000000,2.74,2.67000000,2.71,24959.64,67661.47160000,134,BONDUSDT,2.67,2.74,2.82,2.93,2022-07-02 11:37:00
569,1657952280000,3.74700000,3.837,3.74700000,3.829,28974.27,110139.68981000,359,BONDUSDT,3.747,3.828,3.916,4.112,2022-07-16 06:18:00
